ticker,form,filing_date,accession_number,primary_status,fallback_available,fallback_metrics_used,final_metrics_found,final_completeness_rate,final_status,extraction_strategy,requires_human_review,output_path,error
COST,10-K,2025-10-08,0000909832-25-000101,complete,False,0,7,1.0,complete,companyfacts_api,False,data\processed\sec_financials_final\COST\10-K\0000909832-25-000101.json,
HD,10-Q,2026-05-27,0001628280-26-038247,complete,False,0,7,1.0,complete,companyfacts_api,False,data\processed\sec_financials_final\HD\10-Q\0001628280-26-038247.json,
HD,8-K,2026-05-26,0000354950-26-000105,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\HD\8-K\0000354950-26-000105.json,
HD,10-K,2026-03-18,0001628280-26-019436,complete,False,0,7,1.0,complete,companyfacts_api,False,data\processed\sec_financials_final\HD\10-K\0001628280-26-019436.json,
NKE,10-K,2026-07-15,0000320187-26-000088,partial,False,0,5,0.7143,partial,companyfacts_api,False,data\processed\sec_financials_final\NKE\10-K\0000320187-26-000088.json,
NKE,8-K,2026-06-30,0000320187-26-000076,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\NKE\8-K\0000320187-26-000076.json,
NKE,10-Q,2026-04-01,0000320187-26-000037,partial,False,0,5,0.7143,partial,companyfacts_api,False,data\processed\sec_financials_final\NKE\10-Q\0000320187-26-000037.json,
MCD,8-K,2026-05-22,0000063908-26-000055,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\MCD\8-K\0000063908-26-000055.json,
MCD,10-Q,2026-05-07,0000063908-26-000051,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\MCD\10-Q\0000063908-26-000051.json,
MCD,10-K,2026-02-24,0000063908-26-000035,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\MCD\10-K\0000063908-26-000035.json,
JNJ,8-K,2026-07-29,0000200406-26-000163,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\JNJ\8-K\0000200406-26-000163.json,
JNJ,10-Q,2026-07-23,0000200406-26-000153,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\JNJ\10-Q\0000200406-26-000153.json,
JNJ,10-K,2026-02-11,0000200406-26-000016,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\JNJ\10-K\0000200406-26-000016.json,
PFE,8-K,2026-06-18,0000078003-26-000087,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\PFE\8-K\0000078003-26-000087.json,
PFE,10-Q,2026-05-05,0000078003-26-000054,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\PFE\10-Q\0000078003-26-000054.json,
PFE,10-K,2026-02-26,0000078003-26-000026,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\PFE\10-K\0000078003-26-000026.json,
UNH,8-K,2026-07-16,0000731766-26-000191,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\UNH\8-K\0000731766-26-000191.json,
UNH,10-Q,2026-05-05,0000731766-26-000127,complete,False,0,7,1.0,complete,companyfacts_api,False,data\processed\sec_financials_final\UNH\10-Q\0000731766-26-000127.json,
UNH,10-K,2026-03-02,0000731766-26-000062,complete,False,0,7,1.0,complete,companyfacts_api,False,data\processed\sec_financials_final\UNH\10-K\0000731766-26-000062.json,
ABT,10-Q,2026-07-28,0001628280-26-050134,no_facts,True,6,6,0.8571,partial,companyfacts_plus_inline_xbrl,False,data\processed\sec_financials_final\ABT\10-Q\0001628280-26-050134.json,
ABT,8-K,2026-07-16,0001628280-26-048377,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\ABT\8-K\0001628280-26-048377.json,
ABT,10-K,2026-02-20,0001628280-26-010185,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\ABT\10-K\0001628280-26-010185.json,
MRK,8-K,2026-05-28,0001104659-26-067509,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\MRK\8-K\0001104659-26-067509.json,
MRK,10-Q,2026-05-04,0001628280-26-029802,partial,False,0,5,0.7143,partial,companyfacts_api,False,data\processed\sec_financials_final\MRK\10-Q\0001628280-26-029802.json,
