quality,document_type,field_name,field_kind,field_predictions,exact_match_rate,mean_similarity,median_similarity,mean_ocr_confidence,empty_prediction_rate,high_similarity_mismatch_rate,priority_score
hard,w2,medicare_wages,money,37,0.2162,59.91,62.5,31.21,0.027,0.1081,0.5554
hard,1099_nec,payer_name,text,44,0.2273,58.54,55.32,59.79,0.0,0.1136,0.5494
hard,1099_nec,state_income,money,44,0.1818,69.61,68.34,11.97,0.0,0.2273,0.5412
hard,w2,wages,money,37,0.2432,62.82,63.16,35.26,0.027,0.1892,0.5318
hard,1099_nec,payer_tin,identifier,44,0.4091,52.82,80.16,35.1,0.2273,0.0909,0.5006
hard,1099_nec,recipient_name,text,44,0.3182,64.37,65.94,65.61,0.0227,0.0909,0.4853
hard,1099_nec,recipient_tin,identifier,44,0.3864,65.75,94.12,45.0,0.0682,0.2273,0.4505
hard,w2,medicare_tax_withheld,money,37,0.3514,70.26,87.5,45.54,0.027,0.2162,0.45
hard,1099_nec,recipient_street,text,44,0.3409,85.0,94.05,75.31,0.0,0.3636,0.4075
hard,w2,employee_first_name,text,37,0.4595,72.47,90.0,68.26,0.0,0.1081,0.3799
hard,1099_nec,federal_income_tax_withheld,text,44,0.4318,80.99,88.89,45.6,0.0227,0.25,0.3729
hard,1099_nec,payer_street,text,44,0.5,82.64,98.94,74.73,0.0,0.25,0.3271
hard,1099_nec,nonemployee_compensation,money,44,0.5909,71.53,100.0,55.58,0.0682,0.0682,0.3206
hard,w2,social_security_wages,money,37,0.5135,84.81,100.0,59.71,0.027,0.1892,0.3172
hard,w2,employee_last_name,text,37,0.6216,74.25,100.0,71.42,0.027,0.027,0.2894
mild,1099_nec,payer_state,state,44,0.0227,25.62,29.67,12.63,0.0,0.0,0.7607
mild,w2,employer_ein,identifier,37,0.027,31.54,23.53,11.63,0.027,0.0811,0.7446
mild,1099_nec,recipient_state,state,44,0.0455,28.67,30.95,20.5,0.0,0.0227,0.739
mild,w2,employer_state_id,identifier,37,0.0811,30.95,18.18,0.97,0.0811,0.0541,0.7247
mild,1099_nec,recipient_zip,text,44,0.0,57.8,60.77,21.88,0.0227,0.1591,0.68
mild,1099_nec,state_payer_number,identifier,44,0.0227,63.41,71.01,3.75,0.0,0.2727,0.6473
mild,w2,employee_ssn,identifier,37,0.0541,58.16,54.55,6.24,0.0,0.2432,0.6458
mild,1099_nec,payer_zip,text,44,0.0455,61.72,62.5,27.36,0.0227,0.1591,0.6432
mild,w2,employee_address,multiline,37,0.0,69.25,70.18,90.7,0.0,0.0,0.6422
mild,w2,employer_name_address,multiline,37,0.1622,80.5,76.19,78.95,0.0,0.0811,0.5193
mild,w2,wages,money,37,0.1892,78.39,87.5,29.07,0.0,0.4054,0.5108
mild,w2,federal_tax_withheld,money,37,0.2162,78.7,82.35,38.33,0.0,0.3243,0.495
mild,w2,state_income_tax,money,37,0.3243,75.94,83.33,27.03,0.027,0.2432,0.4479
mild,w2,social_security_wages,money,37,0.3514,92.2,94.12,75.8,0.0,0.5946,0.3801
mild,w2,state,state,37,0.5405,64.41,100.0,23.78,0.0811,0.0,0.3717
mild,w2,state_wages,money,37,0.4054,85.61,88.89,36.35,0.0,0.3514,0.3702
mild,w2,control_number,identifier,37,0.5135,79.26,100.0,7.16,0.027,0.2162,0.3338
mild,1099_nec,state_income,money,44,0.4773,85.95,94.04,28.09,0.0,0.2955,0.3296
mild,w2,social_security_tax_withheld,money,37,0.5405,88.42,100.0,56.64,0.0,0.2162,0.2875
