quality,document_type,field_name,field_kind,field_predictions,exact_match_rate,mean_similarity,median_similarity,mean_ocr_confidence,empty_prediction_rate,high_similarity_mismatch_rate,priority_score
hard,1099_nec,payer_city,text,44,0.1591,38.97,27.43,35.85,0.25,0.0682,0.6831
hard,w2,medicare_tax_withheld,money,37,0.2703,35.17,0.0,25.31,0.5405,0.027,0.6769
hard,w2,wages,money,37,0.0811,53.32,62.5,14.17,0.1892,0.2703,0.6738
hard,w2,employee_address,multiline,37,0.0,62.82,65.31,72.11,0.0,0.0,0.6615
hard,w2,state_wages,money,37,0.1622,51.56,75.0,17.2,0.3243,0.2162,0.6548
hard,w2,employer_name_address,multiline,37,0.0,73.83,76.24,69.14,0.0,0.2703,0.6285
hard,1099_nec,recipient_street,text,44,0.25,52.78,60.0,40.65,0.2955,0.1591,0.5985
hard,1099_nec,nonemployee_compensation,money,44,0.3636,45.16,19.44,36.77,0.4773,0.0682,0.5861
hard,w2,social_security_wages,money,37,0.3514,60.82,90.0,32.68,0.3243,0.2432,0.5229
hard,1099_nec,payer_street,text,44,0.3864,56.99,70.58,44.45,0.2727,0.0682,0.5074
hard,1099_nec,payer_tin,identifier,44,0.4545,58.1,94.74,39.56,0.25,0.1136,0.4632
hard,w2,employee_first_name,text,37,0.3514,72.11,87.5,52.83,0.1081,0.2703,0.4566
hard,1099_nec,recipient_tin,identifier,44,0.4318,65.65,94.12,49.87,0.1818,0.2045,0.4428
hard,1099_nec,state_income,money,44,0.4091,78.08,88.89,3.25,0.1364,0.3182,0.4112
hard,w2,employee_last_name,text,37,0.6757,75.96,100.0,72.18,0.0541,0.0541,0.2586
mild,1099_nec,state_tax_withheld,money,44,0.0,22.59,0.0,0.45,0.6818,0.2273,0.8845
mild,1099_nec,recipient_zip,text,44,0.0,23.0,23.93,26.43,0.0,0.0,0.781
mild,w2,employer_state_id,identifier,37,0.0811,27.17,15.38,2.3,0.2973,0.027,0.7685
mild,w2,employer_ein,identifier,37,0.027,27.53,0.0,2.51,0.0,0.1081,0.7526
mild,1099_nec,payer_zip,text,44,0.0,36.96,37.75,31.84,0.0,0.0,0.7391
mild,1099_nec,payer_state,state,44,0.0227,46.01,50.0,17.33,0.0,0.0909,0.6995
mild,1099_nec,federal_income_tax_withheld,text,44,0.0909,40.67,31.38,35.86,0.0,0.0455,0.678
mild,1099_nec,recipient_state,state,44,0.0455,50.03,50.0,17.55,0.0,0.0682,0.6749
mild,w2,employee_ssn,identifier,37,0.027,63.92,61.54,10.13,0.0,0.1892,0.6434
mild,w2,employee_address,multiline,37,0.0,69.1,70.18,91.08,0.0,0.0,0.6427
mild,1099_nec,state_payer_number,identifier,44,0.0909,71.9,83.28,1.98,0.0682,0.5,0.5945
mild,w2,employer_name_address,multiline,37,0.1351,78.64,76.83,71.07,0.0,0.1351,0.5398
mild,w2,state_income_tax,money,37,0.3514,60.51,83.33,19.76,0.2703,0.1892,0.5157
