ticker,company_name,sector,cik,form,filing_date,report_date,accession_number,source_url,local_path
GS,GOLDMAN SACHS GROUP INC,Financial Services,0000886982,8-K,2026-07-27,2026-07-23,0001193125-26-318147,https://www.sec.gov/Archives/edgar/data/886982/000119312526318147/d113214d8k.htm,data\raw\sec_filings\GS\filings\8-K\2026-07-27_0001193125-26-318147_d113214d8k.htm
GS,GOLDMAN SACHS GROUP INC,Financial Services,0000886982,10-Q,2026-05-01,2026-03-31,0000886982-26-000118,https://www.sec.gov/Archives/edgar/data/886982/000088698226000118/gs-20260331.htm,data\raw\sec_filings\GS\filings\10-Q\2026-05-01_0000886982-26-000118_gs-20260331.htm
GS,GOLDMAN SACHS GROUP INC,Financial Services,0000886982,10-K,2026-02-25,2025-12-31,0000886982-26-000091,https://www.sec.gov/Archives/edgar/data/886982/000088698226000091/gs-20251231.htm,data\raw\sec_filings\GS\filings\10-K\2026-02-25_0000886982-26-000091_gs-20251231.htm
C,CITIGROUP INC,Financial Services,0000831001,8-K,2026-07-14,2026-07-14,0001104659-26-083383,https://www.sec.gov/Archives/edgar/data/831001/000110465926083383/c-20260714x8k.htm,data\raw\sec_filings\C\filings\8-K\2026-07-14_0001104659-26-083383_c-20260714x8k.htm
C,CITIGROUP INC,Financial Services,0000831001,10-Q,2026-05-07,2026-03-31,0000831001-26-000019,https://www.sec.gov/Archives/edgar/data/831001/000083100126000019/c-20260331.htm,data\raw\sec_filings\C\filings\10-Q\2026-05-07_0000831001-26-000019_c-20260331.htm
C,CITIGROUP INC,Financial Services,0000831001,10-K,2026-02-20,2025-12-31,0000831001-26-000011,https://www.sec.gov/Archives/edgar/data/831001/000083100126000011/c-20251231.htm,data\raw\sec_filings\C\filings\10-K\2026-02-20_0000831001-26-000011_c-20251231.htm
V,VISA INC.,Financial Services,0001403161,10-Q,2026-07-29,2026-06-30,0001403161-26-000104,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000104/v-20260630.htm,data\raw\sec_filings\V\filings\10-Q\2026-07-29_0001403161-26-000104_v-20260630.htm
V,VISA INC.,Financial Services,0001403161,8-K,2026-07-28,2026-07-28,0001403161-26-000103,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000103/v-20260728.htm,data\raw\sec_filings\V\filings\8-K\2026-07-28_0001403161-26-000103_v-20260728.htm
V,VISA INC.,Financial Services,0001403161,10-K,2025-11-06,2025-09-30,0001403161-25-000089,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000089/v-20250930.htm,data\raw\sec_filings\V\filings\10-K\2025-11-06_0001403161-25-000089_v-20250930.htm
WMT,Walmart Inc.,Retail and Consumer,0000104169,8-K,2026-06-05,2026-06-04,0000104169-26-000111,https://www.sec.gov/Archives/edgar/data/104169/000010416926000111/wmt-20260604.htm,data\raw\sec_filings\WMT\filings\8-K\2026-06-05_0000104169-26-000111_wmt-20260604.htm
WMT,Walmart Inc.,Retail and Consumer,0000104169,10-Q,2026-05-29,2026-04-30,0000104169-26-000102,https://www.sec.gov/Archives/edgar/data/104169/000010416926000102/wmt-20260430.htm,data\raw\sec_filings\WMT\filings\10-Q\2026-05-29_0000104169-26-000102_wmt-20260430.htm
WMT,Walmart Inc.,Retail and Consumer,0000104169,10-K,2026-03-13,2026-01-31,0000104169-26-000055,https://www.sec.gov/Archives/edgar/data/104169/000010416926000055/wmt-20260131.htm,data\raw\sec_filings\WMT\filings\10-K\2026-03-13_0000104169-26-000055_wmt-20260131.htm
COST,COSTCO WHOLESALE CORP /NEW,Retail and Consumer,0000909832,8-K,2026-07-08,2026-07-07,0000909832-26-000060,https://www.sec.gov/Archives/edgar/data/909832/000090983226000060/cost-20260707.htm,data\raw\sec_filings\COST\filings\8-K\2026-07-08_0000909832-26-000060_cost-20260707.htm
COST,COSTCO WHOLESALE CORP /NEW,Retail and Consumer,0000909832,10-Q,2026-06-03,2026-05-10,0000909832-26-000051,https://www.sec.gov/Archives/edgar/data/909832/000090983226000051/cost-20260510.htm,data\raw\sec_filings\COST\filings\10-Q\2026-06-03_0000909832-26-000051_cost-20260510.htm
COST,COSTCO WHOLESALE CORP /NEW,Retail and Consumer,0000909832,10-K,2025-10-08,2025-08-31,0000909832-25-000101,https://www.sec.gov/Archives/edgar/data/909832/000090983225000101/cost-20250831.htm,data\raw\sec_filings\COST\filings\10-K\2025-10-08_0000909832-25-000101_cost-20250831.htm
HD,"HOME DEPOT, INC.",Retail and Consumer,0000354950,10-Q,2026-05-27,2026-05-03,0001628280-26-038247,https://www.sec.gov/Archives/edgar/data/354950/000162828026038247/hd-20260503.htm,data\raw\sec_filings\HD\filings\10-Q\2026-05-27_0001628280-26-038247_hd-20260503.htm
HD,"HOME DEPOT, INC.",Retail and Consumer,0000354950,8-K,2026-05-26,2026-05-21,0000354950-26-000105,https://www.sec.gov/Archives/edgar/data/354950/000035495026000105/hd-20260521.htm,data\raw\sec_filings\HD\filings\8-K\2026-05-26_0000354950-26-000105_hd-20260521.htm
HD,"HOME DEPOT, INC.",Retail and Consumer,0000354950,10-K,2026-03-18,2026-02-01,0001628280-26-019436,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm,data\raw\sec_filings\HD\filings\10-K\2026-03-18_0001628280-26-019436_hd-20260201.htm
NKE,"NIKE, Inc.",Retail and Consumer,0000320187,10-K,2026-07-15,2026-05-31,0000320187-26-000088,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm,data\raw\sec_filings\NKE\filings\10-K\2026-07-15_0000320187-26-000088_nke-20260531.htm
NKE,"NIKE, Inc.",Retail and Consumer,0000320187,8-K,2026-06-30,2026-06-30,0000320187-26-000076,https://www.sec.gov/Archives/edgar/data/320187/000032018726000076/nke-20260630.htm,data\raw\sec_filings\NKE\filings\8-K\2026-06-30_0000320187-26-000076_nke-20260630.htm
NKE,"NIKE, Inc.",Retail and Consumer,0000320187,10-Q,2026-04-01,2026-02-28,0000320187-26-000037,https://www.sec.gov/Archives/edgar/data/320187/000032018726000037/nke-20260228.htm,data\raw\sec_filings\NKE\filings\10-Q\2026-04-01_0000320187-26-000037_nke-20260228.htm
MCD,MCDONALDS CORP,Retail and Consumer,0000063908,8-K,2026-05-22,2026-05-20,0000063908-26-000055,https://www.sec.gov/Archives/edgar/data/63908/000006390826000055/mcd-20260520.htm,data\raw\sec_filings\MCD\filings\8-K\2026-05-22_0000063908-26-000055_mcd-20260520.htm
MCD,MCDONALDS CORP,Retail and Consumer,0000063908,10-Q,2026-05-07,2026-03-31,0000063908-26-000051,https://www.sec.gov/Archives/edgar/data/63908/000006390826000051/mcd-20260331.htm,data\raw\sec_filings\MCD\filings\10-Q\2026-05-07_0000063908-26-000051_mcd-20260331.htm
MCD,MCDONALDS CORP,Retail and Consumer,0000063908,10-K,2026-02-24,2025-12-31,0000063908-26-000035,https://www.sec.gov/Archives/edgar/data/63908/000006390826000035/mcd-20251231.htm,data\raw\sec_filings\MCD\filings\10-K\2026-02-24_0000063908-26-000035_mcd-20251231.htm
JNJ,JOHNSON & JOHNSON,Healthcare,0000200406,8-K,2026-07-29,2026-07-29,0000200406-26-000163,https://www.sec.gov/Archives/edgar/data/200406/000020040626000163/jnj-20260729.htm,data\raw\sec_filings\JNJ\filings\8-K\2026-07-29_0000200406-26-000163_jnj-20260729.htm
